Cleaned Up Date,Month,BEV,PHEV,HEV,Total LDV
,,,,,
12/1/2010,10-Dec,19.00,326.00,28592.00,1144840.00
1/1/2011,11-Jan,103.00,321.00,19540.00,819938.00
2/1/2011,11-Feb,83.00,281.00,23306.00,993535.00
3/1/2011,11-Mar,298.00,608.00,34533.00,1246668.00
4/1/2011,11-Apr,573.00,493.00,25602.00,1157928.00
5/1/2011,11-May,1150.00,481.00,17419.00,1061841.00
6/1/2011,11-Jun,1708.00,561.00,12655.00,1053414.00
7/1/2011,11-Jul,932.00,125.00,19621.00,1059730.00
8/1/2011,11-Aug,1363.00,302.00,21181.00,1072379.00
9/1/2011,11-Sep,1031.00,723.00,17625.00,1053761.00
10/1/2011,11-Oct,866.00,1108.00,20057.00,1021185.00
11/1/2011,11-Nov,773.00,1139.00,26110.00,994786.00
12/1/2011,11-Dec,1212.00,1529.00,31100.00,1243784.00
1/1/2012,12-Jan,824.00,603.00,21779.00,913284.00
2/1/2012,12-Feb,639.00,1023.00,36222.00,1149432.00
3/1/2012,12-Mar,961.00,3200.00,48206.00,1404623.00
4/1/2012,12-Apr,479.00,3116.00,39901.00,1184567.00
5/1/2012,12-May,612.00,2766.00,37184.00,1334642.00
6/1/2012,12-Jun,863.00,2455.00,34558.00,1285499.00
7/1/2012,12-Jul,479.00,2537.00,31611.00,1153759.00
8/1/2012,12-Aug,866.00,3878.00,38369.00,1285292.00
9/1/2012,12-Sep,1306.00,4503.00,34836.00,1188899.00
10/1/2012,12-Oct,2240.00,4994.00,33290.00,1092294.00
11/1/2012,12-Nov,2614.00,4544.00,35002.00,1143916.00
12/1/2012,12-Dec,2704.00,4965.00,43690.00,1356070.00
1/1/2013,13-Jan,2372.00,2354.00,34611.00,1043238.00
2/1/2013,13-Feb,2666.00,2789.00,40173.00,1192299.00
3/1/2013,13-Mar,4553.00,3079.00,46327.00,1453038.00
4/1/2013,13-Apr,4403.00,2735.00,42804.00,1285446.00
5/1/2013,13-May,4545.00,3209.00,48796.00,1443311.00
6/1/2013,13-Jun,4573.00,4169.00,44924.00,1403121.00
7/1/2013,13-Jul,3943.00,3499.00,45494.00,1313844.00
8/1/2013,13-Aug,4956.00,6407.00,53020.00,1501294.00
9/1/2013,13-Sep,3650.00,4477.00,33576.00,1137206.00
10/1/2013,13-Oct,3733.00,6367.00,33570.00,1206182.00
11/1/2013,13-Nov,3930.00,4903.00,36085.00,1243852.00
12/1/2013,13-Dec,4770.00,5020.00,36155.00,1358734.00
1/1/2014,14-Jan,2971.00,2934.00,27555.00,1011187.00
2/1/2014,14-Feb,3324.00,3721.00,30561.00,1192467.00
3/1/2014,14-Mar,4578.00,4594.00,43790.00,1537270.00
4/1/2014,14-Apr,4187.00,4718.00,39430.00,1391303.00
5/1/2014,14-May,5802.00,6651.00,52227.00,1609678.00
6/1/2014,14-Jun,4982.00,6511.00,39225.00,1421963.00
7/1/2014,14-Jul,5693.00,5740.00,44488.00,1435805.00
8/1/2014,14-Aug,6483.00,5920.00,48208.00,1586374.00
9/1/2014,14-Sep,5983.00,3357.00,31385.00,1245786.00
10/1/2014,14-Oct,5927.00,3735.00,30892.00,1281132.00
11/1/2014,14-Nov,6176.00,3609.00,31109.00,1302655.00
12/1/2014,14-Dec,7419.00,3867.00,33302.00,1507928.00
1/1/2015,15-Jan,3977.00,2113.00,25312.00,1152480.00
2/1/2015,15-Feb,4435.00,2589.00,27038.00,1258570.00
3/1/2015,15-Mar,5715.00,3020.00,33654.00,1545710.00
4/1/2015,15-Apr,6037.00,2962.00,32379.00,1455242.00
5/1/2015,15-May,7057.00,4416.00,40257.00,1634952.00
6/1/2015,15-Jun,6975.00,3409.00,32330.00,1476472.00
7/1/2015,15-Jul,5143.00,3836.00,35666.00,1510941.00
8/1/2015,15-Aug,5224.00,3786.00,37633.00,1577179.00
9/1/2015,15-Sep,6704.00,3038.00,32106.00,1442113.00
10/1/2015,15-Oct,5740.00,4081.00,30485.00,1455153.00
11/1/2015,15-Nov,6103.00,4275.00,25153.00,1318210.00
12/1/2015,15-Dec,7954.00,5483.00,32387.00,1641913.00
1/1/2016,16-Jan,3576.00,3137.00,20967.00,1148087.00
2/1/2016,16-Feb,4424.00,3909.00,24371.00,1343922.00
3/1/2016,16-Mar,7115.00,5319.00,28756.00,1595065.00
4/1/2016,16-Apr,6266.00,5842.00,28988.00,1506431.00
5/1/2016,16-May,6526.00,5619.00,30573.00,1535670.00
6/1/2016,16-Jun,7678.00,6113.00,27681.00,1512996.00
7/1/2016,16-Jul,7762.00,6525.00,32633.00,1521245.00
8/1/2016,16-Aug,8601.00,6372.00,32206.00,1511405.00
9/1/2016,16-Sep,10032.00,6037.00,31286.00,1434483.00
10/1/2016,16-Oct,5408.00,5943.00,26484.00,1370721.00
11/1/2016,16-Nov,6266.00,7858.00,28497.00,1378635.00
12/1/2016,16-Dec,13077.00,10211.00,34507.00,1688368.00
1/1/2017,17-Jan,5398.00,5669.00,22630.00,1142568.00
2/1/2017,17-Feb,5846.00,6247.00,28355.00,1333128.00
3/1/2017,17-Mar,10171.00,7384.00,32012.00,1554998.00
4/1/2017,17-Apr,5961.00,7300.00,30949.00,1426883.00
5/1/2017,17-May,8038.00,8645.00,33729.00,1519793.00
6/1/2017,17-Jun,8814.00,7787.00,30073.00,1474970.00
7/1/2017,17-Jul,7802.00,7407.00,29050.00,1416743.00
8/1/2017,17-Aug,8850.00,7668.00,34850.00,1484826.00
9/1/2017,17-Sep,13421.00,7719.00,37319.00,1525522.00
10/1/2017,17-Oct,6792.00,6665.00,29451.00,1356789.00
11/1/2017,17-Nov,8435.00,8408.00,30075.00,1399640.00
12/1/2017,17-Dec,14959.00,10289.00,32187.00,1605527.00
1/1/2018,18-Jan,9154.00,6241.00,21718.00,1151011.00
2/1/2018,18-Feb,6653.00,8783.00,24609.00,1293763.00
3/1/2018,18-Mar,11060.00,11601.00,28165.00,1647090.00
4/1/2018,18-Apr,12794.00,9931.00,24827.00,1353546.00
5/1/2018,18-May,12232.00,11403.00,31602.00,1586493.00
6/1/2018,18-Jun,12997.00,10485.00,31038.00,1543716.00
7/1/2018,18-Jul,15387.00,9269.00,28203.00,1362964.00
8/1/2018,18-Aug,20222.00,10132.00,30182.00,1482215.00
9/1/2018,18-Sep,24163.00,10777.00,31985.00,1432136.00
10/1/2018,18-Oct,29937.00,9937.00,28614.00,1360281.00
11/1/2018,18-Nov,24089.00,11580.00,27453.00,1382553.00
12/1/2018,18-Dec,28374.00,13744.00,29753.00,1617778.00
1/1/2019,19-Jan,26942.00,6010.00,19153.00,1133157.00
2/1/2019,19-Feb,10644.00,6610.00,22730.00,1251513.00
3/1/2019,19-Mar,17281.00,8074.00,30926.00,1598811.00
4/1/2019,19-Apr,20113.00,5908.00,33082.00,1326555.00
5/1/2019,19-May,18012.00,7949.00,44162.00,1581479.00
6/1/2019,19-Jun,23421.00,7999.00,39247.00,1509674.00
7/1/2019,19-Jul,23559.00,7197.00,36341.00,1396460.00
8/1/2019,19-Aug,18864.00,8433.00,42830.00,1638722.00
9/1/2019,19-Sep,21812.00,5816.00,29848.00,1267150.00
10/1/2019,19-Oct,23072.00,6388.00,32457.00,1333995.00
11/1/2019,19-Nov,11421.00,7733.00,32962.00,1403153.00
12/1/2019,19-Dec,18681.00,7674.00,35706.00,1512243.00
1/1/2020,20-Jan,26391.00,5104.00,27166.00,1136560.00
2/1/2020,20-Feb,11151.00,6111.00,32309.00,1350570.00
3/1/2020,20-Mar,18234.00,3481.00,23591.00,989954.00
4/1/2020,20-Apr,8058.00,2015.00,14268.00,715322.00
5/1/2020,20-May,8626.00,3911.00,27740.00,1119089.00
6/1/2020,20-Jun,16809.00,4206.00,41590.00,1101169.00
7/1/2020,20-Jul,23075.00,5228.00,43738.00,1236643.00
8/1/2020,20-Aug,17291.00,6478.00,42191.00,1318070.00
9/1/2020,20-Sep,28101.00,6670.00,43293.00,1341099.00
10/1/2020,20-Oct,29959.00,7755.00,47611.00,1358922.00
11/1/2020,20-Nov,22225.00,7369.00,47724.00,1199137.00
12/1/2020,20-Dec,28620.00,10721.00,63846.00,1605497.00
1/1/2021,21-Jan,25103.00,7463.00,46843.00,1106286.00
2/1/2021,21-Feb,26215.00,9046.00,54045.00,1193776.00
3/1/2021,21-Mar,40755.00,12261.00,78123.00,1597152.00
4/1/2021,21-Apr,33547.00,18604.00,76397.00,1518415.00
5/1/2021,21-May,29796.00,20807.00,82511.00,1570313.00
6/1/2021,21-Jun,45913.00,16648.00,65960.00,1302213.00
7/1/2021,21-Jul,42013.00,15669.00,74298.00,1280803.00
8/1/2021,21-Aug,35499.00,14067.00,67976.00,1092661.00
9/1/2021,21-Sep,42020.00,12554.00,60102.00,1015935.00
10/1/2021,21-Oct,42485.00,18275.00,63482.00,1051015.00
11/1/2021,21-Nov,46687.00,14170.00,59326.00,1014411.00
12/1/2021,21-Dec,49441.00,16553.00,69983.00,1203993.00
1/1/2022,22-Jan,42904.00,11474.00,63101.00,989560.00
2/1/2022,22-Feb,46883.00,14580.00,58182.00,1045624.00
3/1/2022,22-Mar,60473.00,16534.00,76692.00,1254058.00
4/1/2022,22-Apr,61318.00,17034.00,71842.00,1241978.00
5/1/2022,22-May,57374.00,17267.00,68745.00,1112718.00
6/1/2022,22-Jun,59151.00,14644.00,61039.00,1128579.00
7/1/2022,22-Jul,64161.00,13524.00,59229.00,1121858.00
8/1/2022,22-Aug,60126.00,13971.00,58869.00,1134257.00
9/1/2022,22-Sep,70056.00,13562.00,55891.00,1124206.00
10/1/2022,22-Oct,69705.00,17397.00,66419.00,1176991.00
11/1/2022,22-Nov,62137.00,15533.00,56905.00,1125616.00
12/1/2022,22-Dec,79058.00,19598.00,72264.00,1263268.00
