Date,Cleaned Up Date,Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon)
5-Apr-93,4/1/1993,1.068
12-Apr-93,4/1/1993,1.079
19-Apr-93,4/1/1993,1.079
26-Apr-93,4/1/1993,1.086
3-May-93,5/1/1993,1.086
10-May-93,5/1/1993,1.097
17-May-93,5/1/1993,1.106
24-May-93,5/1/1993,1.106
31-May-93,5/1/1993,1.107
7-Jun-93,6/1/1993,1.104
14-Jun-93,6/1/1993,1.101
21-Jun-93,6/1/1993,1.095
28-Jun-93,6/1/1993,1.089
5-Jul-93,7/1/1993,1.086
12-Jul-93,7/1/1993,1.081
19-Jul-93,7/1/1993,1.075
26-Jul-93,7/1/1993,1.069
2-Aug-93,8/1/1993,1.062
9-Aug-93,8/1/1993,1.06
16-Aug-93,8/1/1993,1.059
23-Aug-93,8/1/1993,1.065
30-Aug-93,8/1/1993,1.062
6-Sep-93,9/1/1993,1.055
13-Sep-93,9/1/1993,1.051
20-Sep-93,9/1/1993,1.045
27-Sep-93,9/1/1993,1.047
4-Oct-93,10/1/1993,1.092
11-Oct-93,10/1/1993,1.09
18-Oct-93,10/1/1993,1.093
25-Oct-93,10/1/1993,1.092
1-Nov-93,11/1/1993,1.084
8-Nov-93,11/1/1993,1.075
15-Nov-93,11/1/1993,1.064
22-Nov-93,11/1/1993,1.058
29-Nov-93,11/1/1993,1.051
6-Dec-93,12/1/1993,1.036
13-Dec-93,12/1/1993,1.018
20-Dec-93,12/1/1993,1.003
27-Dec-93,12/1/1993,0.999
3-Jan-94,1/1/1994,0.992
10-Jan-94,1/1/1994,0.995
17-Jan-94,1/1/1994,1.001
24-Jan-94,1/1/1994,0.999
31-Jan-94,1/1/1994,1.005
7-Feb-94,2/1/1994,1.007
14-Feb-94,2/1/1994,1.016
21-Feb-94,2/1/1994,1.009
28-Feb-94,2/1/1994,1.004
7-Mar-94,3/1/1994,1.007
14-Mar-94,3/1/1994,1.005
21-Mar-94,3/1/1994,1.007
28-Mar-94,3/1/1994,1.012
4-Apr-94,4/1/1994,1.011
11-Apr-94,4/1/1994,1.028
18-Apr-94,4/1/1994,1.033
25-Apr-94,4/1/1994,1.037
2-May-94,5/1/1994,1.04
9-May-94,5/1/1994,1.045
16-May-94,5/1/1994,1.046
23-May-94,5/1/1994,1.05
30-May-94,5/1/1994,1.056
6-Jun-94,6/1/1994,1.065
13-Jun-94,6/1/1994,1.073
20-Jun-94,6/1/1994,1.079
27-Jun-94,6/1/1994,1.095
4-Jul-94,7/1/1994,1.097
11-Jul-94,7/1/1994,1.103
18-Jul-94,7/1/1994,1.109
25-Jul-94,7/1/1994,1.114
1-Aug-94,8/1/1994,1.13
8-Aug-94,8/1/1994,1.157
15-Aug-94,8/1/1994,1.161
22-Aug-94,8/1/1994,1.165
29-Aug-94,8/1/1994,1.161
5-Sep-94,9/1/1994,1.156
12-Sep-94,9/1/1994,1.15
19-Sep-94,9/1/1994,1.14
26-Sep-94,9/1/1994,1.129
3-Oct-94,10/1/1994,1.12
10-Oct-94,10/1/1994,1.114
17-Oct-94,10/1/1994,1.106
24-Oct-94,10/1/1994,1.107
31-Oct-94,10/1/1994,1.121
7-Nov-94,11/1/1994,1.123
14-Nov-94,11/1/1994,1.122
21-Nov-94,11/1/1994,1.113
28-Nov-94,11/1/1994,1.117
5-Dec-94,12/1/1994,1.127
12-Dec-94,12/1/1994,1.131
19-Dec-94,12/1/1994,1.134
26-Dec-94,12/1/1994,1.125
2-Jan-95,1/1/1995,1.127
9-Jan-95,1/1/1995,1.134
16-Jan-95,1/1/1995,1.126
23-Jan-95,1/1/1995,1.132
30-Jan-95,1/1/1995,1.131
6-Feb-95,2/1/1995,1.124
13-Feb-95,2/1/1995,1.121
20-Feb-95,2/1/1995,1.115
27-Feb-95,2/1/1995,1.121
6-Mar-95,3/1/1995,1.123
13-Mar-95,3/1/1995,1.116
20-Mar-95,3/1/1995,1.114
27-Mar-95,3/1/1995,1.121
3-Apr-95,4/1/1995,1.133
10-Apr-95,4/1/1995,1.149
17-Apr-95,4/1/1995,1.163
24-Apr-95,4/1/1995,1.184
1-May-95,5/1/1995,1.194
8-May-95,5/1/1995,1.216
15-May-95,5/1/1995,1.226
22-May-95,5/1/1995,1.244
29-May-95,5/1/1995,1.246
5-Jun-95,6/1/1995,1.246
12-Jun-95,6/1/1995,1.243
19-Jun-95,6/1/1995,1.236
26-Jun-95,6/1/1995,1.229
3-Jul-95,7/1/1995,1.222
10-Jul-95,7/1/1995,1.212
17-Jul-95,7/1/1995,1.2
24-Jul-95,7/1/1995,1.191
31-Jul-95,7/1/1995,1.179
7-Aug-95,8/1/1995,1.174
14-Aug-95,8/1/1995,1.172
21-Aug-95,8/1/1995,1.171
28-Aug-95,8/1/1995,1.163
4-Sep-95,9/1/1995,1.16
11-Sep-95,9/1/1995,1.158
18-Sep-95,9/1/1995,1.157
25-Sep-95,9/1/1995,1.156
2-Oct-95,10/1/1995,1.151
9-Oct-95,10/1/1995,1.144
16-Oct-95,10/1/1995,1.133
23-Oct-95,10/1/1995,1.125
30-Oct-95,10/1/1995,1.115
6-Nov-95,11/1/1995,1.112
13-Nov-95,11/1/1995,1.109
20-Nov-95,11/1/1995,1.106
27-Nov-95,11/1/1995,1.107
4-Dec-95,12/1/1995,1.108
11-Dec-95,12/1/1995,1.11
18-Dec-95,12/1/1995,1.124
25-Dec-95,12/1/1995,1.128
1-Jan-96,1/1/1996,1.129
8-Jan-96,1/1/1996,1.139
15-Jan-96,1/1/1996,1.145
22-Jan-96,1/1/1996,1.138
29-Jan-96,1/1/1996,1.133
5-Feb-96,2/1/1996,1.13
12-Feb-96,2/1/1996,1.126
19-Feb-96,2/1/1996,1.133
26-Feb-96,2/1/1996,1.153
4-Mar-96,3/1/1996,1.17
11-Mar-96,3/1/1996,1.171
18-Mar-96,3/1/1996,1.181
25-Mar-96,3/1/1996,1.21
1-Apr-96,4/1/1996,1.223
8-Apr-96,4/1/1996,1.248
15-Apr-96,4/1/1996,1.287
22-Apr-96,4/1/1996,1.301
29-Apr-96,4/1/1996,1.318
6-May-96,5/1/1996,1.321
13-May-96,5/1/1996,1.323
20-May-96,5/1/1996,1.33
27-May-96,5/1/1996,1.321
3-Jun-96,6/1/1996,1.315
10-Jun-96,6/1/1996,1.307
17-Jun-96,6/1/1996,1.302
